event_id,event_name,candidate_source,required_signals,units,sampling_rate_needed,time_alignment_need,actor_attribution_need,derivability_notes,missingness_risk,signal_class,outcome_blind_extractable,endpoint_eligibility,gate_012_0_action,gate_012_0_reason
E11,planner fallback,SPEC_W0,planner fallback mode/flag; planner state; timestamp,status code semantics unavailable,planner status event stream,planner event timestamp aligned to trajectories,ego planner/system attribution,No fallback key was found; futurePlanList was empty in all inspected occurrences; generic algorithmStatus is undocumented.,high: required planner-status semantics absent.,unavailable,no,planner_system_event,remove,Remove because no credible fallback signal path exists in available schema.
E12,repeated replanning,SPEC_W0,planner plan updates or trajectory plan IDs over time; timestamp; accepted/rejected plan state,not available,planner update stream faster than or equal to trajectory cadence,plan-update events aligned to ego trajectory,ego planner attribution,No plan-update counter or nonempty plan list was found; futurePlanList was empty in inspected ego rows.,high: planner plans absent from replay logs.,unavailable,no,planner_system_event,remove,Remove because repeated replanning cannot be inferred from empty/absent planner plan channels.
E13,trajectory rejection,SPEC_W0,trajectory rejection flag/reason; candidate trajectory set; timestamp,not available,planner/validator event stream,rejection event timestamp aligned to trajectory frames,ego planner/validator attribution,"No rejection, candidate trajectory, validator, or reason fields were found in trajectory or monitor schema.",high: required channel absent.,unavailable,no,planner_system_event,remove,Remove because trajectory rejection is not represented by the available replay schema.
E14,mission failure,SPEC_W0,explicit mission status/failure flag or documented completion criteria; route/goal; timestamp,status semantics unavailable; route/goal unavailable,mission status event stream or complete route/goal timeline,mission state aligned to replay time,ego/session attribution without using leakage IDs as event signals,"Monitor has generic status codes, but no mission-failure dictionary; route/goal geometry is absent. No-progress can be audited separately but is not equivalent to mission failure.",high: explicit failure and route/goal signals absent.,unavailable,no,planner_system_event,remove,Remove because mission failure lacks a documented automatic signal path in current schema.
E15,collision/contact,ADDENDUM_A01,actor positions; dimensions; heading/courseAngle; timestamps; actor IDs; preferably collision/contact flag,timestamp ms; x/y and dimensions source length units; heading degrees,10 Hz or finer; observed median 100 ms,same-frame or interpolated actor states,neutral IDs for all actors in contact candidate,"No collision/contact flag was found, but geometric overlap/contact candidates can be derived from x/y, courseAngle, length, width, and IDs in simulation_trajectory.log. This is a kinematic proxy, not sensor-confirmed contact.","moderate: core geometry 0 missing in inspected world rows, but coordinate-frame and bounding-box convention must be verified; no physical contact sensor.",derivable,yes_as_geometric_proxy_after_geometry_rule_freeze,independent_consequence_endpoint,keep_automatic,Retain only as a geometric overlap/contact-candidate event; do not claim sensor-confirmed collision without a contact flag.
E16,off-route or no-progress timeout,ADDENDUM_A01,route/lane/goal for off-route; ego position/speed/timestamp for no-progress; duration rule,timestamp ms; position source length units or lat/lon degrees; route/lane unavailable,10 Hz kinematics for no-progress; route geometry needed for off-route,ego trajectory over a continuous time window,ego actor ID,"No lane/route/goal geometry was found, so off-route is unavailable. No-progress timeout is derivable from ego speed and displacement over time.","moderate-high: no-progress kinematics are low missingness, but off-route subcase has no signal path and duration threshold is unfrozen.",partially_observable,partial_no_progress_only,independent_consequence_endpoint,keep_automatic,Retain automatic extraction only for no-progress timeout; remove/offline-hold the off-route subcase until route/lane/goal geometry is supplied.
E17,human/operator takeover,ADDENDUM_A01,explicit takeover/manual-control flag or documented autoStatus/driveStatus/controlType dictionary; timestamp,status code semantics unavailable,event/status stream aligned to trajectory time,takeover timestamp aligned to ego trajectory,ego/system attribution,"Generic autoStatus, driveStatus, and controlType fields exist, but no dictionary maps values to human/operator takeover; no takeover key was found.",high: status fields are semantically opaque; media metadata does not provide operator-control evidence.,unavailable,no,planner_system_event,remove,Remove because takeover cannot be identified without an explicit flag or authoritative status-code dictionary.
E18,emergency stop,ADDENDUM_A01,ego speed; deceleration/braking; timestamp; optional explicit e-stop flag,timestamp ms; speed and acceleration source units; braking status numeric,10 Hz; observed median 100 ms,ego time series over stop onset and recovery,ego actor ID,"No explicit emergency-stop flag was found, but an emergency-stop candidate can be derived from ego braking, acceleration/deceleration, speed, and timestamp.",moderate: kinematic path is available but cannot distinguish commanded e-stop from other hard stops without a status dictionary; threshold and duration rules are later work.,derivable,yes_as_kinematic_candidate_after_threshold_freeze,independent_consequence_endpoint,keep_automatic,Retain as kinematic emergency-stop candidate; do not claim explicit e-stop command without a flag/dictionary.
E19,abrupt lateral comfort events,ADDENDUM_A01,lateral acceleration; heading/courseAngle; wheel/steering angle; timestamp; speed,timestamp ms; latAcc source acceleration units; heading/courseAngle degrees; steering/wheel angle source degrees or steering units; speed source units,10 Hz or finer; observed median 100 ms,ego consecutive frames on normalized time grid,ego actor ID,"latAcc/lonAcc, courseAngle, wheelAngle/steeringWheelAngle, speed, and timestamp exist for ego; lateral jerk can be derived after smoothing rules.","moderate-low: latAcc/lonAcc present for 44,000/46,000 bounded ego rows with 0 missing when present; derivative/comfort threshold requires smoothing.",derivable,yes_after_threshold_and_smoothing_freeze,independent_consequence_endpoint,keep_automatic,Retain because lateral acceleration/heading/steering/time channels exist for ego trajectory.
E20,yielding to a non-counterpart actor,ADDENDUM_A01,all actor IDs; counterpart identity; non-counterpart identity; yielding kinematics; route/right-of-way/context,timestamp ms; position/speed/acceleration source units; route/lane unavailable,10 Hz multi-actor trajectories plus context,"ego, counterpart, and other actors aligned over yield window",stable counterpart and non-counterpart neutral actor IDs,"All-actor kinematics and IDs exist, but counterpart identity and right-of-way/context rules are not frozen and route/lane geometry is absent; the non-counterpart yielding interpretation is semantic.",high: essential role/context signals missing; actor IDs available but insufficient.,partially_observable,no_complete_automatic_path,construct_proximal_descriptor,demote_human_only,Demote because actor kinematics exist but non-counterpart yielding semantics lack route/context and frozen counterpart rules.
