figure,panel,source,sha256,fields,unit,filters,notes
S2,a,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_sensitivity.csv,611aa65558891b58eef7fb344127cfd356b10d5e6928ebeed6b1372c25a05296,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q1_rev; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
6,b,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/rating_descriptives.csv,5faf7f0fde7ef8c583d64bfd0118fda45df95ce1d021478026efb319402f8801,class;seat;metric;subject_equal_mean;ci_low;ci_high;n_ratings;n_subjects;n_pairs;ci_method,rating points (1-7),"metric=q4; seat=ego and cp; class order A,C,W",Equal-participant mean; supplied pair-cluster percentile bootstrap intervals; no raw-weighted mean plotted.
6,b,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;p_holm_30;estimand;ci_method,within-subject difference in rating points,"metric=q4; seat=cp; A-W,C-W,A-C",All three counterpart contrasts shown; original intervals retained; no inference from mean-interval overlap.
S2,b,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q4; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
S2,b,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_sensitivity.csv,611aa65558891b58eef7fb344127cfd356b10d5e6928ebeed6b1372c25a05296,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q4; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
6,c,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/rating_descriptives.csv,5faf7f0fde7ef8c583d64bfd0118fda45df95ce1d021478026efb319402f8801,class;seat;metric;subject_equal_mean;ci_low;ci_high;n_ratings;n_subjects;n_pairs;ci_method,rating points (1-7),"metric=q5_cost_cp; seat=cp only; class order A,C,W",Equal-participant mean; supplied pair-cluster percentile bootstrap intervals; no raw-weighted mean plotted.
6,c,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;p_holm_30;estimand;ci_method,within-subject difference in rating points,"metric=q5_cost_cp; seat=cp; A-W,C-W,A-C",All three counterpart contrasts shown; original intervals retained; no inference from mean-interval overlap.
S2,c,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q5_cost_cp; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
S2,c,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_sensitivity.csv,611aa65558891b58eef7fb344127cfd356b10d5e6928ebeed6b1372c25a05296,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q5_cost_cp; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
6,design strip,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/design_counts.csv,1d548bf84c90c4baab0f2b8085b7fc60bdf2d3fbf3e69d720d4a33c1a9c31645,class;arm;seat;n_ratings;n_trials;n_subjects;n_pairs;n_segments;n_scenarios,counts,both seats for rating records; cp rows for trials and segments,"40 participants and 20 pairs are shared counts, not summed across rows; trials=596; segments=90; ratings=1192."
6,design strip,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/scenario_class_coverage.csv,22b1af94ebe2f14dc41096d475f34138b0a2c0626f909f070678ca8d685d6d83,scenario_id,scenarios,unique scenario_id,15 observed scenarios.
S2,direction-count check,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_source.csv,afef0a42d7d0eb2bb2c9462eb75cde7077c58cd476e4d9f6f5f2ef2f74e007a2,scenario_id;seat;metric;contrast;difference,scenario-level difference,check against all 30 common_scenario_sensitivity rows,Aggregate scenario counts checked; no new estimation.
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/rating_descriptives.csv,5faf7f0fde7ef8c583d64bfd0118fda45df95ce1d021478026efb319402f8801,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_rating_descriptives.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_participant_paired_contrasts.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/paper_core_results.csv,23b9a780313cd77fa2c6b4b1ef59462cf456b5f61891760db4540a6bb2992038,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_paper_core_results.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/design_counts.csv,1d548bf84c90c4baab0f2b8085b7fc60bdf2d3fbf3e69d720d4a33c1a9c31645,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_design_counts.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_source.csv,afef0a42d7d0eb2bb2c9462eb75cde7077c58cd476e4d9f6f5f2ef2f74e007a2,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_common_scenario_source.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_sensitivity.csv,611aa65558891b58eef7fb344127cfd356b10d5e6928ebeed6b1372c25a05296,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_common_scenario_sensitivity.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/alternative_code_sensitivity.csv,d99611ec47cc599cb6594b712316fe8a97398ed378604b23083f8d7d815051a4,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_alternative_code_sensitivity.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/source_label_sensitivity.csv,9d5be513e1b5a21becf73df1603b5dfd6bb1fa062346db19d52fed8f52c547ba,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_source_label_sensitivity.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/scenario_class_coverage.csv,22b1af94ebe2f14dc41096d475f34138b0a2c0626f909f070678ca8d685d6d83,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_scenario_class_coverage.csv
6/S2,prior plotting entry point,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/process/make_figures.py,208fdca0aba2ec3dbb7e712629b6f50ffb4a3c38685fea8006b5dad799760464,input and weighting logic,not applicable,read only,Original figures migrated without reading the individual-level source used for faint dots.
3,a,reports/studies/RQ021_contemporaneous_envelope/RQ021_1_contemporaneous_envelope_20260805T160425Z_43b4bff/key_numbers.json,a40be0fec9665c35a48cb2e5566c5bc89e8c41bb8323081944e0905678bf3498,human_only_envelope.metrics; circularity_diagnostics.marginal_envelopes.ipv_log.metrics; D2_contemporaneous_test_r2,accepted or readable test moments,"pure-human test-fold; a,b supported and readable; d all readable",Accepted RQ021 outputs; distinct denominators preserved
3,b,reports/studies/RQ021_contemporaneous_envelope/RQ021_1_contemporaneous_envelope_20260805T160425Z_43b4bff/key_numbers.json,a40be0fec9665c35a48cb2e5566c5bc89e8c41bb8323081944e0905678bf3498,human_only_envelope.metrics; circularity_diagnostics.marginal_envelopes.ipv_log.metrics; D2_contemporaneous_test_r2,accepted or readable test moments,"pure-human test-fold; a,b supported and readable; d all readable",Accepted RQ021 outputs; distinct denominators preserved
3,d,reports/studies/RQ021_contemporaneous_envelope/RQ021_1_contemporaneous_envelope_20260805T160425Z_43b4bff/key_numbers.json,a40be0fec9665c35a48cb2e5566c5bc89e8c41bb8323081944e0905678bf3498,human_only_envelope.metrics; circularity_diagnostics.marginal_envelopes.ipv_log.metrics; D2_contemporaneous_test_r2,accepted or readable test moments,"pure-human test-fold; a,b supported and readable; d all readable",Accepted RQ021 outputs; distinct denominators preserved
3,c,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,funnel,candidate test moments,pure-human test-fold universe,Support abstention denominator is readable moments
ED3,a,reports/studies/RQ004_ipv_state_space/RQ004_1_state_space_law_nature_20260618/02_process/agent_I_figures/F7_lodo_summary_source_data.csv,7597c629070d8fa5d4d15c971e0ccd67a03066be3bdc893c7023bed0b0302d37,outcome_spec; full_state_space_r2; test_n,independent cases,outcome_spec=case_mean_ipv,"Episode-summary prediction, separate from reference coverage"
ED3,b,reports/studies/RQ021_contemporaneous_envelope/RQ021_2_lodo_transfer_20260807T114305Z_0c4d280/key_numbers_e2.json,2b94b00d557344c909a837811f32919d277d6faddd7932682828909fd2db86df,lodo.<source>.metrics.90,moments,all four held-out sources; 90% level,Coverage denominator accepted; support abstention denominator readable
1,a,reports/knowledge/PAPER001_online_sociality_verification_manuscript/figure_revision_20260925/process/input_plan.md,fd6ef25e4565cb01dfd076c14bdf4017e21f30450b84d0685c4817ac206a44d7,Section 3: monitor logic,conceptual,schematic; no measured quantities,
1,b,.codex-fleet/paper-figure-upgrade/work/S1_scoring/all_candidates_scored.parquet,ae72b0cb7ad6e03452128601c6275d8790aee5ca8c04efe01d81aee634e1dd09,coordinates; elapsed_time_s; ipv_log; lo_90; hi_90; both_gates_ok; exceed_side_90,frames,case_key=ipv_004992; perspective=key_agent_1,221 source rows; timeline 11.0–22.7 s; trajectories from 13.2 s
1,c,.codex-fleet/paper-figure-upgrade/work/S1_scoring/all_candidates_scored.parquet,ae72b0cb7ad6e03452128601c6275d8790aee5ca8c04efe01d81aee634e1dd09,coordinates; elapsed_time_s; ipv_log; lo_90; hi_90; both_gates_ok; exceed_side_90,frames,case_key=ipv_004992; perspective=key_agent_1,221 source rows; timeline 11.0–22.7 s; trajectories from 13.2 s
S4,a,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,grid; exemplar_readable; exemplar_abstain,candidate weights,frozen two-frame examples,No resampling or fitted uncertainty
S4,b,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,grid; exemplar_readable; exemplar_abstain,candidate weights,frozen two-frame examples,No resampling or fitted uncertainty
S4,c,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,grid; exemplar_readable; exemplar_abstain,candidate weights,frozen two-frame examples,No resampling or fitted uncertainty
ED4,a,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,human_bins; human_hist; human_n,readable human moments,human test fold,486660 moments
ED4,b,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,deployed_ranges,context summaries,CP|priority; MP|priority; MP|equal,Lower and upper medians computed separately; not one observed interval
ED4,b,.codex-fleet/rq021-contemporaneous-envelope/work/E1/onsite_scoring_dryrun.parquet,4c52b911128f8b804ffd64a9cf9f26590c4bdc83bfb11d2081b1f4bd6c317165,context_cell; lo_90; hi_90; width_90,all deployment candidate moments,same three context cells,Confirms all frozen counts and bound medians
